Symbol,Series,Security Name,Band,Remarks
AMDIND,EQ,AMD Industries Limited,20,-
AMRUTANJAN,EQ,Amrutanjan Health Care Limited,20,-
AMTEKAUTO,EQ,Amtek Auto Limited,20,-
ANANTRAJ,EQ,Anant Raj Limited,20,-
ANDHRSUGAR,EQ,The Andhra Sugars Limited,20,-
ANKITMETAL,EQ,Ankit Metal & Power Limited,20,-
ANSALHSG,EQ,Ansal Housing and Construction Limited,20,-
APARINDS,EQ,Apar Industries Limited,20,-
APCL,EQ,Anjani Portland Cement Limited,20,-
APCOTEXIND,EQ,Apcotex Industries Limited,20,-
APLAPOLLO,EQ,APL Apollo Tubes Limited,20,-
APLLTD,EQ,Alembic Pharmaceuticals Limited,20,-
APTECHT,EQ,Aptech Limited,20,-
ARCHIDPLY,EQ,Archidply Industries Limited,20,-
ARCOTECH,EQ,Arcotech Limited,20,-
ARIES,EQ,Aries Agro Limited,20,-
ARIHANTSUP,EQ,Arihant Superstructures Limited,20,-
ARMANFIN,EQ,Arman Financial Services Limited,20,-
AROGRANITE,EQ,Aro Granite Industries Limited,20,-
ARROWGREEN,EQ,Arrow Greentech Limited,20,-
ARROWTEX,EQ,Arrow Textiles Limited,20,-
ARSSINFRA,EQ,ARSS Infrastructure Projects Limited,20,-
ARTNIRMAN,SM,Art Nirman Limited,20,-
ARVSMART,EQ,Arvind SmartSpaces Limited,20,-
ASAHIINDIA,EQ,Asahi India Glass Limited,20,-
ASAHISONG,EQ,Asahi Songwon Colors Limited,20,-
ASAL,EQ,Automotive Stampings and Assemblies Limited,20,-
ASHAPURMIN,EQ,Ashapura Minechem Limited,20,-
ASHIMASYN,EQ,Ashima Limited,20,-
ASHOKA,EQ,Ashoka Buildcon Limited,20,-
ASIANHOTNR,EQ,Asian Hotels (North) Limited,20,-
ASIANTILES,EQ,Asian Granito India Limited,20,-
ASLIND,SM,ASL Industries Limited,20,-
ASTEC,EQ,Astec LifeSciences Limited,20,-
ASTRAL,EQ,Astral Poly Technik Limited,20,-
ASTRAMICRO,EQ,Astra Microwave Products Limited,20,-
ASTRAZEN,EQ,AstraZeneca Pharma India Limited,20,-
ATFL,EQ,Agro Tech Foods Limited,20,-
ATLANTA,EQ,Atlanta  Limited,20,-
ATUL,EQ,Atul Limited,20,-
ATULAUTO,EQ,Atul Auto Limited,20,-
AURIONPRO,EQ,Aurionpro Solutions Limited,20,-
AUTOAXLES,EQ,Automotive Axles Limited,20,-
AUTOIND,EQ,Autoline Industries Limited,20,-
AUTOLITIND,EQ,Autolite (India) Limited,20,-
AVSL,SM,AVSL Industries Limited,20,-
AVTNPL,EQ,AVT Natural Products Limited,20,-
AXISCADES,EQ,AXISCADES Engineering Technologies Limited,20,-
AXISGOLD,EQ,Axis Mutual Fund - Axis Gold ETF,20,-
AYMSYNTEX,EQ,AYM Syntex Limited,20,-
BAFNAPHARM,EQ,Bafna Pharmaceuticals Limited,20,-
BAGFILMS,EQ,B.A.G Films and Media Limited,20,-
BAJAJCORP,EQ,Bajaj Corp Limited,20,-
BAJAJELEC,EQ,Bajaj Electricals Limited,20,-
BAJAJHIND,EQ,Bajaj Hindusthan Sugar Limited,20,-
BAJAJHLDNG,EQ,Bajaj Holdings & Investment Limited,20,-
BALAJITELE,EQ,Balaji Telefilms Limited,20,-
BALAMINES,EQ,Balaji Amines Limited,20,-
BALKRISHNA,EQ,Balkrishna Paper Mills Limited,20,-
BALLARPUR,EQ,Ballarpur Industries Limited,20,-
BALMLAWRIE,EQ,Balmer Lawrie & Company Limited,20,-
BALPHARMA,EQ,Bal Pharma Limited,20,-
BANARISUG,EQ,Bannari Amman Sugars Limited,20,-
BANCOINDIA,EQ,Banco Products (I) Limited,20,-
BANKBEES,EQ,Reliance ETF Bank BeES,20,-
BANSWRAS,EQ,Banswara Syntex Limited,20,-
BASF,EQ,BASF India Limited,20,-
BASML,EQ,Bannari Amman Spinning Mills Limited,20,-
BAYERCROP,EQ,Bayer Cropscience Limited,20,-
BBL,EQ,Bharat Bijlee Limited,20,-
BBTC,EQ,Bombay Burmah Trading Corporation Limited,20,NIFTY Free float Smallcap 100
BEPL,EQ,Bhansali Engineering Polymers Limited,20,-
BFINVEST,EQ,BF Investment Limited,20,-
BFUTILITIE,EQ,BF Utilities Limited,20,-
BGRENERGY,EQ,BGR Energy Systems Limited,20,-
BHAGERIA,EQ,Bhageria Industries Limited,20,-
BHALCHANDR,IT,Bhalchandram Clothing Limited,20,-
BHARATGEAR,EQ,Bharat Gears Limited,20,-
BHARATRAS,EQ,Bharat Rasayan Limited,20,-
BHUSANSTL,EQ,Bhushan Steel Limited,20,-
BIGBLOC,EQ,Bigbloc Construction Limited,20,-
BIL,EQ,Bhartiya International Limited,20,-
BINANIIND,EQ,Binani Industries Limited,20,-
BINDALAGRO,EQ,Oswal Chemicals & Fertilizers Limited,20,-
BIRLACABLE,EQ,Birla Cable Limited,20,-
BIRLACORPN,EQ,Birla Corporation Limited,20,-
BLISSGVS,EQ,Bliss GVS Pharma Limited,20,-
